Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_2_DP-20,3.12205,78.3242
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_2_DP-20,3.04001,82.2144
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_4_DP-27,2.99002,344.233
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_4_DP-27,2.99002,344.233
Hs_planula_t.50049..190-774,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.50049,190-774,STG_4_DP-28,2.9273,26.2855
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_3_DP-26,2.91751,61.1886
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_4_DP-28,2.91195,65.0114
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_1_DP-17,2.90422,293.001
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_1_DP-17,2.90422,293.001
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_1_DP-18,2.87188,37.9947
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_4_DP-28,2.74453,369.652
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_4_DP-28,2.74453,369.652
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_1_DP-18,2.72389,314.852
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_1_DP-18,2.72389,314.852
Hs_planula_t.85107..1378-566,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.85107,1378-566,STG_4_DP-27,2.66391,66.1776
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_3_DP-25,2.65828,57.2495
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_2_DP-19,2.49059,65.1314
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_4_DP-28,2.45734,63.208
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_4_DP-28,2.41841,38.6789
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_3_DP-21,2.36886,33.4645
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_3_DP-26,2.34634,72.4621
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_3_DP-21,2.13644,41.5898
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_4_DP-22,2.11256,46.8567
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_4_DP-27,1.94236,26.7043
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_4_DP-28,1.91488,43.7806
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_2_DP-24,1.80322,42.0686
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_2_DP-20,1.72163,228.807
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_2_DP-20,1.72163,228.807
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_2_DP-24,1.67949,22.9532
Hs_planula_t.24723..1175-555,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,1175-555,STG_2_DP-19,1.64038,215.702
Hs_planula_t.24723..9401-9096,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.24723,9401-9096,STG_2_DP-19,1.64038,215.702
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_1_DP-18,1.61853,33.7264
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_1_DP-17,1.60696,17.8596
Hs_planula_t.87239..1008-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.87239,1008-103,STG_4_DP-22,1.59947,25.5051
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_4_DP-22,1.58942,24.6892
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_3_DP-26,1.57709,13.0
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_2_DP-20,1.56141,22.8496
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_3_DP-25,1.52915,18.3167
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_3_DP-25,1.50168,8.0
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_3_DP-25,1.49989,28.9653
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_2_DP-24,1.47947,21.2783
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_2_DP-19,1.47721,21.9119
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_3_DP-21,1.46793,8.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_1_DP-17,1.42615,8.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_1_DP-18,1.40547,9.0
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_1_DP-17,1.3918,25.7051
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_3_DP-26,1.36932,26.0476
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_3_DP-21,1.35619,16.5493
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_1_DP-17,1.33619,28.0
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_2_DP-24,1.31747,33.0
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_1_DP-18,1.27056,30.0
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_3_DP-25,1.23313,25.0
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_4_DP-28,1.20572,17.3211
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_1_DP-18,1.14007,14.4267
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_1_DP-17,1.12151,22.9443
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_1_DP-23,1.05421,24.0
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_4_DP-22,1.04981,13.4941
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_3_DP-26,1.04307,33.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_4_DP-28,1.03246,4.0
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_1_DP-23,1.01516,20.6907
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_3_DP-26,0.997375,17.1819
Hs_planula_t.74880..126-824,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74880,126-824,STG_1_DP-23,0.986046,19.4478
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_3_DP-26,0.953421,19.7638
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_1_DP-23,0.944323,11.2239
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_3_DP-21,0.926559,19.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_3_DP-21,0.856531,11.9862
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_4_DP-27,0.836589,10.4199
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_1_DP-18,0.791132,16.9463
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_4_DP-28,0.78012,20.3802
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_2_DP-20,0.778403,11.4994
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_3_DP-21,0.761628,17.0841
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_2_DP-20,0.757965,21.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_1_DP-23,0.740527,10.8155
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_4_DP-27,0.730732,14.4367
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_1_DP-23,0.729118,15.8615
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_2_DP-19,0.7163,18.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_4_DP-28,0.695227,4.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_2_DP-24,0.69511,5.0
Hs_planula_t.74881..1377-721,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.74881,1377-721,STG_1_DP-18,0.669801,15.3272
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_4_DP-28,0.649339,15.0
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_3_DP-26,0.622758,22.0086
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_4_DP-28,0.598562,7.63286
Hs_planula_t.40086..1424-483,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40086,1424-483,STG_1_DP-17,0.546471,10.3506
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_3_DP-25,0.500406,5.42127
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_1_DP-23,0.478221,3.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_4_DP-28,0.476332,3.99172
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_1_DP-18,0.439642,11.1013
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_2_DP-19,0.43541,3.0
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_3_DP-21,0.42912,4.77986
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_4_DP-22,0.409177,10.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_2_DP-20,0.396022,6.90558
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_2_DP-19,0.380865,6.53821
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_2_DP-24,0.375818,3.2762
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_1_DP-23,0.352837,8.46198
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_2_DP-24,0.341934,9.21487
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_4_DP-27,0.324085,3.53795
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_4_DP-27,0.282973,3.87586
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_1_DP-17,0.265882,5.91737
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_3_DP-25,0.264384,1.92385
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_2_DP-20,0.261437,2.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_4_DP-27,0.255848,1.84142
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_4_DP-22,0.252363,6.54513
Hs_planula_t.14852..1060-236,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.14852,1060-236,STG_4_DP-27,0.250617,5.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_2_DP-20,0.24632,2.33987
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_3_DP-21,0.237502,1.71631
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_2_DP-20,0.236074,6.8878
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_2_DP-24,0.219633,3.82978
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_4_DP-27,0.218627,4.92734
