OG	symbol
OG0000976	PLAG1, PLAGL1, PLAGL2
OG0000978	CEBPB, CEBPE, CEBPG
OG0001002	MYB
OG0001003	KMT2B
OG0001011	HNRNPK
OG0001023	NFYC
OG0001033	MECOM, PRDM16
OG0001054	RCAN1
OG0001055	ZBTB8B, ZBTB37, ZBTB47, ZBTB24
OG0001087	NFE2, NFE2L2, NFE2L3
OG0001095	RXRA, RXRB, RXRG
OG0001100	GATAD2A, GATAD2B
OG0001141	ATF7, ATF2, CREB5
OG0001179	EZH1, EZH2
OG0001187	NONO, PSPC1, SFPQ
OG0001215	PHTF1
OG0001249	RCOR1, RCOR2, RCOR3
OG0001303	POU2F3, POU1F1, POU3F1, POU3F2, POU3F3, POU3F4
OG0001330	BTG2
OG0001342	ATF6B, CREM, ATF6
OG0001385	HLTF
OG0001412	GATA1, GATA2, GATA3, GATA4
OG0001413	HSF1, HSF2, HSF4
OG0001423	HNF4A, HNF4G
OG0001425	ERG, FLI1, FEV
OG0001429	ZNF784, PRDM13
OG0001432	HDAC1
OG0001503	CARF
OG0001518	TADA2A
OG0001568	HIF1A, HIF3A
OG0001602	KDM5B, KDM5A, KDM5C, KDM5D
OG0001635	PAXBP1
OG0001651	TFCP2L1, TFCP2, UBP1
OG0001709	DLX3, DLX4, DLX5, DLX6
OG0001719	NPAS1, NPAS3, SIM1, SIM2
OG0001727	TAF12
OG0001743	SIN3A
OG0001804	ZC3H3
OG0001814	FOXO6, FOXO4
OG0001836	ARID4B, ARID4A
OG0001840	HNRNPAB
OG0001843	CAMTA2, CAMTA1
OG0001876	NFAT5
OG0001910	MYC, MYCL
OG0001926	RBPJ
OG0001929	TAF1L, TAF1
OG0001999	SNAPC4
OG0002094	LHX1, LHX5, LHX3, LHX4
OG0002111	TBXT, TBX19
OG0002121	MAX
OG0002124	RFX2
OG0002127	XBP1
OG0002159	EAF2
OG0002195	KDM2A
OG0002240	DNMT3B
OG0002313	ARID1B, ARID1A
OG0002319	TXK
OG0002320	NR2F6, NR2F1, NR2F2
OG0002349	HINFP
OG0002359	MTA3, MTA1, MTA2
OG0002413	DMAP1
OG0002441	RFX5, RFX7
OG0002495	MXD4, MXD1, MXI1, MXD3
OG0002516	HBP1
OG0002585	POU4F1, POU4F2, POU4F3
OG0002598	TEAD1, TEAD4, TEAD3
OG0002606	NRF1
OG0002608	UBN1
OG0002609	TAF4, TAF4B
OG0002637	PURA, PURB
OG0002659	KAT7
OG0002662	USF1, USF2
OG0002737	LMX1A, LMX1B
OG0002804	CC2D1A
OG0002819	ZC3H11A
OG0002864	THAP11
OG0002917	PBX1
OG0002925	SMARCC1, SMARCC2
OG0002936	ARID3B, ARID3C, ARID3A
OG0002945	SMARCA1, SMARCA5
OG0002949	ARNT, ARNT2
OG0002978	TARDBP
OG0002981	ARHGAP35
OG0003036	ZGPAT
OG0003152	LZTR1
OG0003315	ZFP42, YY2, YY1
OG0003329	ZNF579
OG0003361	SMAD6, SMAD7
OG0003380	HMG20B, HMG20A
OG0003442	ZZZ3
OG0003451	ZNF207
OG0003519	NOLC1
OG0003563	PRKN
OG0003586	AEBP2
OG0003592	RERE
OG0003645	ZNF219
OG0003735	JUN, JUNB, JUND
OG0003736	NFX1
OG0003737	PHB
OG0003741	OSR2, OSR1
OG0003757	SMAD4
OG0003764	ZFP36L1
OG0003768	LHX6, LHX8
OG0003848	AHCTF1
OG0004006	NKRF
OG0004020	SKI
OG0004026	RUNX1
OG0004047	FOS
OG0004090	CREBZF
OG0004196	OVOL1, OVOL2, OVOL3
OG0004201	TBPL2, TBP
OG0004228	DEAF1
OG0004282	TCF25
OG0004294	SUPT6H
OG0004305	CXXC1
OG0004308	IRF2BP1, IRF2BP2, IRF2BPL
OG0004349	NFYB
OG0004402	TET3
OG0004405	NFXL1
OG0004464	KDM3A
OG0004521	ARID2
OG0004543	BOLA3, BOLA2, BOLA2B
OG0004576	GLMP
OG0004758	AHR, AHRR
OG0004761	SRF
OG0004769	TAF6
OG0004781	CBFB
OG0004803	YBX1, YBX2, YBX3
OG0004806	SIRT1
OG0004818	MLLT1, MLLT3
OG0004834	INSM1, INSM2
OG0004868	DNAJC1
OG0004940	WDHD1
OG0005001	DNAJC2
OG0005020	BLZF1
OG0005115	FOXJ3
OG0005128	KLF11
OG0005372	ISL1, ISL2
OG0005406	FOXN4, FOXN1
OG0005420	BTAF1
OG0005427	TAF7
OG0005553	ZC3H15
OG0005588	ZRANB2
OG0005607	PA2G4
OG0005655	TADA2B
OG0005683	TFAM
OG0005688	GLIS3
OG0006017	SNAI1
OG0006025	UNKL
OG0006034	PARP1
OG0006065	HIRA
OG0006068	MNT
OG0006101	YEATS2
OG0006123	DR1
OG0006233	ZNF277
OG0006257	NFYA
OG0006259	JARID2
OG0006261	CEBPZ
OG0006269	RC3H2
OG0006293	NOC3L
OG0006295	STK16
OG0006351	MLX
OG0006374	BOLA1
OG0006484	RFX6
OG0006501	ZNF395, SLC2A4RG
OG0006535	RFX4
OG0006541	BCL3
OG0006779	SSRP1
OG0006780	TAF5
OG0006914	YEATS4
OG0006973	DRAP1
OG0007090	JAZF1
OG0007166	NCOA1
OG0007230	ARID5B
OG0007260	SOHLH2
OG0007265	ZNF770
OG0007552	CRAMP1
OG0007559	TFAP4
OG0007561	GFI1B
OG0007565	GABPA
OG0007588	ZNF511
OG0007627	NOC4L
OG0007636	SMARCE1
OG0007662	ZNF622
OG0007722	SLC30A9
OG0007734	RAI1
OG0007751	TOX4
OG0007785	CIR1
OG0007903	MTF1
OG0007997	PRDM14
OG0008009	ZNF367
OG0008039	E2F7
OG0008092	TSHZ1, TSHZ2, TSHZ3
OG0008496	GATAD1
OG0008509	SUPT4H1
OG0008514	ZNF593
OG0008516	PRDM15
OG0008538	PFDN1
OG0008540	PHF5A
OG0008549	OLIG2, OLIG1, BHLHE23, BHLHE22
OG0008554	TAF13
OG0008587	CDC5L
OG0008704	PROX1
OG0008725	ZNF197
OG0008736	ZNF639
OG0008790	TRPS1
OG0009395	CASZ1
OG0009399	SUB1
OG0009532	BCL11A
OG0009533	PLEK
OG0009632	GTF3A
OG0010509	ZBTB18
OG0010580	PURG
OG0010598	ZNF518A
OG0010635	ZBTB4
OG0011828	ZC3H6
OG0011842	USF3
OG0011869	ZNF292
OG0013661	MYCN
OG0013692	ZNF518B
OG0016960	TBR1
OG0016988	FOXC1
OG0017005	OLIG3
OG0017068	KLF13
OG0017083	ZFPM1
OG0017085	BHLHA9
OG0017095	ZNF516
