gene_acc	Homo_seqid	OG	symbol	Hydractinia_seqid
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.16351
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.19641
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.2260
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.23740
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.41167
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.4804
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.48878
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.49344
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.49647
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.50947
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.51234
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.52401
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.5670
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.83491
NP_001025036.2	Homo_36731	OG0000001	DBX1	Hs_planula_t.84650
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.10662
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.11148
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.14300
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.14425
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.1475
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.16351
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.19641
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.2260
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.23740
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.41167
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.4804
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.48878
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.49344
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.49647
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.50947
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.51234
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.52401
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.5670
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.83491
NP_001129743.2	Homo_28161	OG0000001	NKX2-6	Hs_planula_t.84650
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.10662
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.11148
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.14300
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.14425
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.1475
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.16351
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.19641
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.2260
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.23740
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.41167
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.4804
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.48878
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.49344
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.49647
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.50947
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.51234
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.52401
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.5670
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.83491
NP_689781.1	Homo_28513	OG0000001	NKX6-3	Hs_planula_t.84650
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.10662
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.11148
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.14300
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.14425
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.1475
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.16351
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.19641
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.2260
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.23740
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.41167
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.4804
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.48878
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.49344
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.49647
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.50947
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.51234
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.52401
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.5670
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.83491
NP_660328.2	Homo_34960	OG0000001	NKX2-3	Hs_planula_t.84650
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.10662
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.11148
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.14300
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.14425
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.1475
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.16351
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.19641
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.2260
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.23740
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.41167
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.4804
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.48878
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.49344
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.49647
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.50947
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.51234
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.52401
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.5670
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.83491
NP_573574.2	Homo_16697	OG0000001	GSX2	Hs_planula_t.84650
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.10662
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.11148
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.14300
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.14425
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.1475
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.16351
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.19641
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.2260
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.23740
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.41167
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.4804
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.48878
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.49344
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.49647
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.50947
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.51234
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.52401
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.5670
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.83491
NP_004088.2	Homo_8279	OG0000001	EMX1	Hs_planula_t.84650
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.10662
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.11148
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.14300
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.14425
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.1475
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.16351
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.19641
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.2260
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.23740
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.41167
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.4804
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.48878
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.49344
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.49647
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.50947
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.51234
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.52401
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.5670
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.83491
NP_004089.1	Homo_35493	OG0000001	EMX2	Hs_planula_t.84650
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.10662
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.11148
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.14300
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.14425
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.1475
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.16351
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.19641
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.2260
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.23740
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.41167
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.4804
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.48878
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.49344
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.49647
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.50947
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.51234
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.52401
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.5670
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.83491
NP_001417.3	Homo_9221	OG0000001	EN1	Hs_planula_t.84650
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.10662
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.11148
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.14300
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.14425
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.1475
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.16351
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.19641
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.2260
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.23740
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.41167
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.4804
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.48878
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.49344
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.49647
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.50947
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.51234
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.52401
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.5670
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.83491
NP_001418.2	Homo_27606	OG0000001	EN2	Hs_planula_t.84650
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.10662
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.11148
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.14300
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.14425
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.1475
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.16351
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.19641
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.2260
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.23740
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.41167
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.4804
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.48878
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.49344
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.49647
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.50947
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.51234
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.52401
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.5670
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.83491
NP_663632.1	Homo_43599	OG0000001	GSX1	Hs_planula_t.84650
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.10662
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.11148
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.14300
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.14425
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.1475
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.16351
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.19641
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.2260
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.23740
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.41167
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.4804
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.48878
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.49344
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.49647
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.50947
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.51234
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.52401
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.5670
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.83491
NP_036608.1	Homo_8225	OG0000001	VAX2	Hs_planula_t.84650
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.10662
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.11148
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.14300
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.14425
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.1475
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.16351
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.19641
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.2260
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.23740
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.41167
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.4804
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.48878
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.49344
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.49647
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.50947
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.51234
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.52401
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.5670
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.83491
NP_055175.2	Homo_45161	OG0000001	NKX2-8	Hs_planula_t.84650
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.10662
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.11148
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.14300
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.14425
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.1475
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.16351
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.19641
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.2260
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.23740
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.41167
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.4804
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.48878
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.49344
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.49647
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.50947
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.51234
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.52401
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.5670
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.83491
NP_001092304.1	Homo_27521	OG0000001	GBX1	Hs_planula_t.84650
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.10662
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.11148
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.14300
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.14425
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.1475
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.16351
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.19641
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.2260
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.23740
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.41167
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.4804
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.48878
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.49344
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.49647
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.50947
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.51234
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.52401
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.5670
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.83491
NP_066305.2	Homo_20923	OG0000001	TLX3	Hs_planula_t.84650
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.10662
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.11148
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.14300
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.14425
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.1475
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.16351
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.19641
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.2260
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.23740
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.41167
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.4804
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.48878
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.49344
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.49647
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.50947
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.51234
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.52401
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.5670
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.83491
NP_002720.1	Homo_34677	OG0000001	HHEX	Hs_planula_t.84650
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.10662
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.11148
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.14300
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.14425
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.1475
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.16351
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.19641
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.2260
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.23740
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.41167
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.4804
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.48878
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.49344
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.49647
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.50947
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.51234
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.52401
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.5670
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.83491
NP_068777.1	Homo_6352	OG0000001	HLX	Hs_planula_t.84650
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.10662
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.11148
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.14300
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.14425
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.1475
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.16351
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.19641
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.2260
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.23740
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.41167
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.4804
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.48878
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.49344
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.49647
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.50947
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.51234
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.52401
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.5670
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.83491
NP_061815.2	Homo_16157	OG0000001	HMX1	Hs_planula_t.84650
NP_005510.1	Homo_35666	OG0000001	HMX2	Hs_planula_t.10662
NP_005510.1	Homo_35666	OG0000001	HMX2	Hs_planula_t.11148
