#Significant genes in DNA Binding Transcription Factor activity (1694 genes in geneset originally) 

        #Homo Gene mods before Actinula join = 861 (Homo Gene Mods)
        #433 Unique Homo OG
        #3530 Hydractinia gene models mapped to genes in this geneset  #Actinula_sensory_percep_light_stim.txt
        #752 Unique Hydractinia Headers
        #304 Unique Hydractinia OG 


# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.70805	OG0000849	EBF1	-0.849257589	8.166495187	6.56E-13
Hs_planula_t.25178	OG0000934	STAG1	-0.603884806	6.560765423	6.90E-06
Hs_planula_t.25953	OG0001002	MYB	-0.787624742	5.907884088	2.82E-08
Hs_planula_t.25766	OG0001100	GATAD2A	-0.578278147	7.376833012	3.80E-06
Hs_planula_t.27430	OG0001429	ZNF784	-0.798395665	5.003549859	3.10E-08
Hs_planula_t.47531	OG0001840	HNRNPAB	-0.945150666	6.322600043	1.26E-13
Hs_planula_t.69265	OG0001840	HNRNPAB	1.472063873	5.422641206	3.46E-23
Hs_planula_t.48371	OG0001910	MYC	-1.134437174	5.854843231	3.90E-13
Hs_planula_t.49854	OG0002111	TBXT	-0.834352179	4.250391101	2.25E-09
Hs_planula_t.26576	OG0002124	RFX2	-0.901821245	5.017410997	2.54E-11
Hs_planula_t.29026	OG0002127	XBP1	-0.888220419	4.308114062	3.96E-10
Hs_planula_t.39746	OG0002127	XBP1	-0.883528509	4.350488697	7.76E-07
Hs_planula_t.92085	OG0002127	XBP1	-0.712707279	5.922238071	2.18E-06
Hs_planula_t.48444	OG0002609	TAF4	0.81254876	6.160155175	6.91E-11
Hs_planula_t.30796	OG0002637	PURA	1.648288484	5.345374662	1.09E-10
Hs_planula_t.78088	OG0002637	PURA	0.886236134	9.161657167	3.17E-13
Hs_planula_t.40269	OG0002662	USF1	-1.336451113	6.841987749	5.30E-13
Hs_planula_t.92611	OG0002819	ZC3H11A	0.674872233	7.926358136	1.11E-06
Hs_planula_t.28487	OG0002925	SMARCC1	-0.699538989	5.325416838	7.87E-08
Hs_planula_t.82707	OG0002925	SMARCC1	-0.731866321	7.032337136	2.28E-09
Hs_planula_t.25996	OG0002945	SMARCA1	-0.62282291	7.395076984	3.28E-07
Hs_planula_t.49385	OG0003361	SMAD6	0.86705037	4.81001179	4.81E-10
Hs_planula_t.36887	OG0003451	ZNF207	-0.83268319	4.791030814	6.78E-06
Hs_planula_t.59560	OG0004020	SKI	0.642510446	4.6604193	4.81E-06
Hs_planula_t.75906	OG0004201	TBPL2	-0.66897357	5.323653105	2.41E-07
Hs_planula_t.48810	OG0004402	TET3	-0.633525203	5.799366025	2.81E-06
Hs_planula_t.82724	OG0004834	INSM1	-0.545491072	6.363866612	1.33E-05
Hs_planula_t.28669	OG0004868	DNAJC1	-0.657158621	5.254129613	8.97E-07
Hs_planula_t.49923	OG0004940	WDHD1	-1.55455312	5.153599151	6.69E-25
Hs_planula_t.91872	OG0005001	DNAJC2	0.836785471	5.731539449	7.36E-10
Hs_planula_t.78510	OG0005115	FOXJ3	0.555507656	6.065172795	1.23E-05
Hs_planula_t.47814	OG0005406	FOXN4	-1.002774243	7.457023949	7.54E-14
Hs_planula_t.35632	OG0005607	PA2G4	1.342528666	5.32685175	7.31E-17
Hs_planula_t.89953	OG0005607	PA2G4	0.808717463	8.424336028	6.25E-11
Hs_planula_t.26313	OG0005683	TFAM	-0.901075756	5.422526644	2.48E-12
Hs_planula_t.80358	OG0006034	PARP1	0.933365621	4.573450253	5.51E-10
Hs_planula_t.73874	OG0006261	CEBPZ	1.066426749	6.588365242	8.10E-15
Hs_planula_t.38966	OG0007636	SMARCE1	-0.716305737	6.528631726	4.21E-09
Hs_planula_t.50013	OG0008039	E2F7	-1.697475762	5.402968568	5.80E-34
Hs_planula_t.26485	OG0008587	CDC5L	-0.52586718	6.59977003	1.61E-05
Hs_planula_t.78195	OG0009632	GTF3A	2.140300394	6.609687084	6.71E-57


# Stage 1 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.35505	OG0000043	PGBD1	0.861991626	4.44156599	5.56E-09
Hs_planula_t.29942	OG0000260	DMRT1	-1.073567015	4.661755481	2.49E-10
Hs_planula_t.90558	OG0000356	FOXP4	-1.008750423	5.370801919	1.19E-12
Hs_planula_t.28219	OG0000359	CERS3	-0.695862279	6.224711737	2.39E-07
Hs_planula_t.27398	OG0000418	ETS1	0.738871144	4.914046492	3.12E-06
Hs_planula_t.47705	OG0000627	MYEF2	-1.600113868	7.509529737	2.90E-24
Hs_planula_t.81533	OG0000698	NR2E3	-1.038202552	5.500702946	2.36E-10
Hs_planula_t.80291	OG0000728	ZBED9	0.811333794	4.595033227	2.34E-07
Hs_planula_t.92607	OG0000728	ZBED9	0.808400498	5.431008045	4.91E-07
Hs_planula_t.70805	OG0000849	EBF1	-0.92679679	8.10748043	9.69E-12
Hs_planula_t.88704	OG0000867	NCOR1	0.653707138	7.477805002	1.59E-06
Hs_planula_t.36186	OG0000892	TRERF1	-0.719408844	4.55538352	5.06E-06
Hs_planula_t.24738	OG0001003	KMT2B	0.721674207	5.499561501	2.11E-07
Hs_planula_t.49951	OG0001518	TADA2A	0.82959432	4.535998176	2.24E-05
Hs_planula_t.37204	OG0001727	TAF12	0.621259695	3.902026068	2.02E-05
Hs_planula_t.24909	OG0001743	SIN3A	-0.573632045	6.443437326	2.12E-05
Hs_planula_t.47531	OG0001840	HNRNPAB	-1.623717964	6.096978613	5.23E-25
Hs_planula_t.69265	OG0001840	HNRNPAB	1.632327499	5.504832297	2.55E-21
Hs_planula_t.48371	OG0001910	MYC	-1.236949313	5.79467672	2.89E-14
Hs_planula_t.91026	OG0001910	MYC	0.680412459	5.284813355	1.95E-06
Hs_planula_t.42186	OG0002121	MAX	0.724316364	4.371176848	6.19E-07
Hs_planula_t.26576	OG0002124	RFX2	-0.799375287	5.025388913	1.84E-08
Hs_planula_t.39686	OG0002127	XBP1	-0.64971918	6.677971098	1.50E-06
Hs_planula_t.24927	OG0002516	HBP1	0.734288993	5.616093874	9.86E-07
Hs_planula_t.91768	OG0002608	UBN1	0.764671168	4.913722751	1.69E-07
Hs_planula_t.48444	OG0002609	TAF4	0.995890541	6.245083719	2.06E-13
Hs_planula_t.78088	OG0002637	PURA	1.309008288	9.416986102	2.46E-21
Hs_planula_t.40269	OG0002662	USF1	-1.074574984	6.889547901	1.86E-08
Hs_planula_t.82707	OG0002925	SMARCC1	-0.690464699	7.01662487	4.80E-07
Hs_planula_t.25889	OG0003764	ZFP36L1	-0.642976783	5.526528742	1.42E-05
Hs_planula_t.75906	OG0004201	TBPL2	-0.909355401	5.207705197	7.88E-11
Hs_planula_t.66399	OG0004228	DEAF1	-0.608365375	5.956369312	1.49E-05
Hs_planula_t.48810	OG0004402	TET3	-0.974869622	5.646490793	2.49E-12
Hs_planula_t.28669	OG0004868	DNAJC1	-0.639441438	5.231580795	4.67E-06
Hs_planula_t.91872	OG0005001	DNAJC2	0.889130692	5.730548656	3.81E-10
Hs_planula_t.78510	OG0005115	FOXJ3	0.61192211	6.065178396	5.32E-06
Hs_planula_t.47814	OG0005406	FOXN4	-1.786799773	7.209801961	3.23E-33
Hs_planula_t.35632	OG0005607	PA2G4	1.598131933	5.476869629	4.51E-19
Hs_planula_t.89953	OG0005607	PA2G4	1.231352624	8.674157301	3.44E-18
Hs_planula_t.26313	OG0005683	TFAM	-1.332470978	5.260451327	1.85E-18
Hs_planula_t.80358	OG0006034	PARP1	0.847571085	4.48047518	5.04E-06
Hs_planula_t.73874	OG0006261	CEBPZ	1.086524279	6.568216285	1.51E-12
Hs_planula_t.35843	OG0006269	RC3H2	-0.628428098	7.013380904	2.67E-06
Hs_planula_t.48240	OG0006535	RFX4	-0.76112933	4.785839977	1.26E-07
Hs_planula_t.74424	OG0006541	BCL3	0.575425261	5.661856074	1.87E-05
Hs_planula_t.48593	OG0006779	SSRP1	-0.574528923	5.659090664	1.89E-05
Hs_planula_t.48386	OG0006973	DRAP1	0.763415743	4.682940631	1.63E-06
Hs_planula_t.83583	OG0007561	GFI1B	-1.182775496	4.625874684	2.03E-14
Hs_planula_t.38966	OG0007636	SMARCE1	-0.805511051	6.464759292	5.27E-09
Hs_planula_t.50013	OG0008039	E2F7	-1.958890494	5.320369079	1.53E-39
Hs_planula_t.26485	OG0008587	CDC5L	-0.677413971	6.508740059	3.34E-07
Hs_planula_t.78195	OG0009632	GTF3A	2.798970118	7.131832023	1.89E-76



# Stage 2 vs Stage 3
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.24738	OG0001003	KMT2B	0.743089081	5.203166794	2.26E-07
Hs_planula_t.91768	OG0002608	UBN1	0.808804025	4.543597563	1.53E-06
Hs_planula_t.40269	OG0002662	USF1	-0.831944794	6.400937877	2.20E-07
Hs_planula_t.36887	OG0003451	ZNF207	-0.910075699	4.742621456	1.38E-06
Hs_planula_t.75211	OG0003563	PRKN	0.880405448	4.84725651	1.57E-09
Hs_planula_t.81810	OG0004047	FOS	1.000365862	5.447420951	1.42E-06
Hs_planula_t.35632	OG0005607	PA2G4	0.763976837	5.417031558	1.09E-06
Hs_planula_t.78195	OG0009632	GTF3A	0.963864509	6.81379252	1.15E-10


# Stage 2 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.24738	OG0001003	KMT2B	0.968628177	5.302164057	2.69E-10
Hs_planula_t.47531	OG0001840	HNRNPAB	-0.933699011	5.498653855	2.89E-08
Hs_planula_t.69264	OG0001840	HNRNPAB	1.356972326	5.676972747	1.87E-13
Hs_planula_t.91768	OG0002608	UBN1	1.101420611	4.688499788	6.34E-10
Hs_planula_t.48444	OG0002609	TAF4	0.840306176	6.190608346	5.46E-08
Hs_planula_t.35632	OG0005607	PA2G4	1.020731601	5.538119252	8.05E-09
Hs_planula_t.78195	OG0009632	GTF3A	1.622658557	7.236331877	2.11E-23


# Stage 3 vs Stage 4
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.47531	OG0001840	HNRNPAB	-0.670103245	5.325482122	9.77E-08
Hs_planula_t.39746	OG0002127	XBP1	0.788544657	4.121283093	5.12E-09
Hs_planula_t.48275	OG0002606	NRF1	0.740867242	5.168848576	1.67E-06
Hs_planula_t.30796	OG0002637	PURA	-0.883251481	5.421487864	9.25E-09
Hs_planula_t.36887	OG0003451	ZNF207	0.912932026	4.678137572	5.23E-07
Hs_planula_t.38820	OG0003451	ZNF207	0.545922827	6.355922444	1.40E-07
Hs_planula_t.25889	OG0003764	ZFP36L1	-0.7566258	5.480097694	2.52E-12
Hs_planula_t.81810	OG0004047	FOS	-0.813224607	5.459429239	9.57E-12
Hs_planula_t.24627	OG0005128	KLF11	-0.631879459	4.629545881	2.58E-06
Hs_planula_t.47814	OG0005406	FOXN4	-0.777067415	6.379099026	3.97E-15
Hs_planula_t.83583	OG0007561	GFI1B	-0.821919718	4.268504357	3.12E-10
Hs_planula_t.78195	OG0009632	GTF3A	0.665834566	7.527820387	2.48E-11



#List of sig DEGs from 9.C
"Hs_planula_t.47705","Hs_planula_t.70805","Hs_planula_t.48339","Hs_planula_t.25178","Hs_planula_t.27430","Hs_planula_t.69265","Hs_planula_t.48371","Hs_planula_t.78088","Hs_planula_t.49923","Hs_planula_t.47814","Hs_planula_t.80358","Hs_planula_t.50013","Hs_planula_t.78195","Hs_planula_t.35505","Hs_planula_t.84109","Hs_planula_t.29942","Hs_planula_t.47705","Hs_planula_t.81533","Hs_planula_t.80291","Hs_planula_t.92607","Hs_planula_t.26803","Hs_planula_t.70805","Hs_planula_t.25178","Hs_planula_t.25953","Hs_planula_t.25766","Hs_planula_t.27430","Hs_planula_t.47531","Hs_planula_t.69265","Hs_planula_t.48371","Hs_planula_t.49854","Hs_planula_t.26576","Hs_planula_t.29026","Hs_planula_t.39746","Hs_planula_t.92085","Hs_planula_t.48444","Hs_planula_t.30796","Hs_planula_t.78088","Hs_planula_t.40269","Hs_planula_t.92611","Hs_planula_t.28487","Hs_planula_t.82707","Hs_planula_t.25996","Hs_planula_t.49385","Hs_planula_t.36887","Hs_planula_t.59560","Hs_planula_t.75906","Hs_planula_t.48810","Hs_planula_t.82724","Hs_planula_t.28669","Hs_planula_t.49923","Hs_planula_t.91872","Hs_planula_t.78510","Hs_planula_t.47814","Hs_planula_t.35632","Hs_planula_t.89953","Hs_planula_t.26313","Hs_planula_t.80358","Hs_planula_t.73874","Hs_planula_t.38966","Hs_planula_t.50013","Hs_planula_t.26485","Hs_planula_t.78195","Hs_planula_t.35505","Hs_planula_t.29942","Hs_planula_t.90558","Hs_planula_t.28219","Hs_planula_t.27398","Hs_planula_t.47705","Hs_planula_t.81533","Hs_planula_t.80291","Hs_planula_t.92607","Hs_planula_t.70805","Hs_planula_t.88704","Hs_planula_t.36186","Hs_planula_t.24738","Hs_planula_t.49951","Hs_planula_t.37204","Hs_planula_t.24909","Hs_planula_t.47531","Hs_planula_t.69265","Hs_planula_t.48371","Hs_planula_t.91026","Hs_planula_t.42186","Hs_planula_t.26576","Hs_planula_t.39686","Hs_planula_t.24927","Hs_planula_t.91768","Hs_planula_t.48444","Hs_planula_t.78088","Hs_planula_t.40269","Hs_planula_t.82707","Hs_planula_t.25889","Hs_planula_t.75906","Hs_planula_t.66399","Hs_planula_t.48810","Hs_planula_t.28669","Hs_planula_t.91872","Hs_planula_t.78510","Hs_planula_t.47814","Hs_planula_t.35632","Hs_planula_t.89953","Hs_planula_t.26313","Hs_planula_t.80358","Hs_planula_t.73874","Hs_planula_t.35843","Hs_planula_t.48240","Hs_planula_t.74424","Hs_planula_t.48593","Hs_planula_t.48386","Hs_planula_t.83583","Hs_planula_t.38966","Hs_planula_t.50013","Hs_planula_t.26485","Hs_planula_t.78195","Hs_planula_t.24738","Hs_planula_t.91768","Hs_planula_t.40269","Hs_planula_t.36887","Hs_planula_t.75211","Hs_planula_t.81810","Hs_planula_t.35632","Hs_planula_t.78195","Hs_planula_t.24738","Hs_planula_t.47531","Hs_planula_t.69264","Hs_planula_t.91768","Hs_planula_t.48444","Hs_planula_t.35632","Hs_planula_t.78195","Hs_planula_t.47531","Hs_planula_t.39746","Hs_planula_t.48275","Hs_planula_t.30796","Hs_planula_t.36887","Hs_planula_t.38820","Hs_planula_t.25889","Hs_planula_t.81810","Hs_planula_t.24627","Hs_planula_t.47814","Hs_planula_t.83583","Hs_planula_t.78195"


# Stage 1 vs Stage 2-4 (pos = st 1; neg = stg 2-4)
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.84109	OG0000162	TCF12	-0.647913155	6.468804297	4.91E-06
Hs_planula_t.29942	OG0000260	DMRT1	-0.910669944	4.474598938	5.46E-11
Hs_planula_t.47705	OG0000627	MYEF2	-1.371592549	7.212106004	2.16E-12
Hs_planula_t.81533	OG0000698	NR2E3	-0.969821545	5.269492361	4.13E-11
Hs_planula_t.70805	OG0000849	EBF1	-0.918320958	7.872624	5.33E-10
Hs_planula_t.25178	OG0000934	STAG1	-0.697077974	6.314486449	1.64E-06
Hs_planula_t.25953	OG0001002	MYB	-0.662322054	5.754350792	1.62E-06
Hs_planula_t.47531	OG0001840	HNRNPAB	-1.053586581	5.981278633	2.49E-07
Hs_planula_t.69265	OG0001840	HNRNPAB	1.399382801	5.635070612	2.66E-12
Hs_planula_t.48371	OG0001910	MYC	-1.144557167	5.52261931	6.64E-17
Hs_planula_t.26576	OG0002124	RFX2	-0.833604468	4.79495585	4.43E-09
Hs_planula_t.78088	OG0002637	PURA	1.017172061	9.445037769	1.95E-07
Hs_planula_t.40269	OG0002662	USF1	-0.946637534	6.686823464	1.27E-05
Hs_planula_t.82707	OG0002925	SMARCC1	-0.689580315	6.840037237	1.34E-06
Hs_planula_t.49385	OG0003361	SMAD6	0.79770285	4.92057962	1.35E-05
Hs_planula_t.75906	OG0004201	TBPL2	-0.668559831	5.121041277	4.58E-06
Hs_planula_t.48810	OG0004402	TET3	-0.794454515	5.502470636	8.55E-09
Hs_planula_t.91872	OG0005001	DNAJC2	0.752318043	5.822822789	4.92E-06
Hs_planula_t.47814	OG0005406	FOXN4	-1.368826785	6.957296397	1.77E-11
Hs_planula_t.35632	OG0005607	PA2G4	1.220572967	5.474171595	5.01E-06
Hs_planula_t.26313	OG0005683	TFAM	-0.926113984	5.142762929	2.07E-07
Hs_planula_t.80358	OG0006034	PARP1	0.894358283	4.721726858	1.84E-07
Hs_planula_t.82220	OG0006351	MLX	0.577983679	4.316444101	8.23E-06
Hs_planula_t.38966	OG0007636	SMARCE1	-0.711973352	6.315772587	5.22E-08
Hs_planula_t.50013	OG0008039	E2F7	-1.803439207	4.883266595	1.06E-46
Hs_planula_t.78195	OG0009632	GTF3A	2.171518715	7.005818359	9.31E-09




######## 2 Groups Summary ########

## Days 1&2 vs Days 3&4

# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.35505	OG0000043	PGBD1	0.622007809	4.496871692	1.24E-06
Hs_planula_t.47705	OG0000627	MYEF2	-1.213592538	7.212052428	1.25E-08
Hs_planula_t.80291	OG0000728	ZBED9	0.830338904	4.641688882	3.58E-09
Hs_planula_t.24738	OG0001003	KMT2B	0.733720349	5.383048813	2.20E-08
Hs_planula_t.47531	OG0001840	HNRNPAB	-0.943704813	5.981143176	2.52E-06
Hs_planula_t.91768	OG0002608	UBN1	0.786487088	4.764505126	5.01E-08
Hs_planula_t.48444	OG0002609	TAF4	0.831160601	6.209361636	1.36E-10
Hs_planula_t.40269	OG0002662	USF1	-0.968778642	6.686778932	1.26E-07
Hs_planula_t.35632	OG0005607	PA2G4	1.164414256	5.474373972	1.06E-11
Hs_planula_t.26313	OG0005683	TFAM	-0.838593476	5.142558344	7.46E-07
Hs_planula_t.73874	OG0006261	CEBPZ	0.848505699	6.633955489	3.24E-08
Hs_planula_t.78195	OG0009632	GTF3A	1.812095942	7.005941637	1.16E-12

#List of sig DEGs from 9.C
"Hs_planula_t.35505","Hs_planula_t.47705","Hs_planula_t.80291","Hs_planula_t.24738","Hs_planula_t.47531","Hs_planula_t.91768","Hs_planula_t.48444","Hs_planula_t.40269","Hs_planula_t.35632","Hs_planula_t.26313","Hs_planula_t.73874","Hs_planula_t.78195"








